 1,        1,   0.00,   1.32 
 1,       10,  30.00,   7.00 
 1,      100,  29.00,   8.87 
 1,     1000,  26.80,  12.97 
 1,    10000,  27.04,  13.23 
 1,   100000,  26.95,  12.82 
 1,   500000,  26.91,  12.70 
 1,  1000000,  26.85,  12.82 
 2,        1,   0.00,   0.54 
 2,       10,  10.00,   4.11 
 2,      100,  31.00,  15.39 
 2,     1000,  26.00,  24.57 
 2,    10000,  26.81,  25.30 
 2,   100000,  26.98,  25.42 
 2,   500000,  26.87,  25.35 
 2,  1000000,  26.87,  25.16 
 4,        1,   0.00,   0.47 
 4,       10,  70.00,   3.99 
 4,      100,  36.00,  15.89 
 4,     1000,  27.20,  25.37 
 4,    10000,  27.50,  27.37 
 4,   100000,  27.18,  27.04 
 4,   500000,  27.00,  49.83 
 4,  1000000,  26.98,  49.88 
 8,        1,   0.00,   0.44 
 8,       10,  30.00,   2.94 
 8,      100,  33.00,  14.55 
 8,     1000,  27.30,  72.96 
 8,    10000,  26.64,  96.51 
 8,   100000,  26.84,  99.69 
 8,   500000,  26.94,  99.44 
 8,  1000000,  26.85,  97.97 
12,        1,   0.00,   0.29 
12,       10,  20.00,   3.00 
12,      100,  27.00,  14.62 
12,     1000,  26.90,  73.52 
12,    10000,  27.22,  99.02 
12,   100000,  26.77, 106.21 
12,   500000,  26.87, 110.53 
12,  1000000,  26.91, 109.09 
16,        1, 100.00,   0.22 
16,       10,  30.00,   2.01 
16,      100,  28.00,  12.33 
16,     1000,  28.50,  79.36 
16,    10000,  27.01, 127.50 
16,   100000,  26.79, 135.25 
16,   500000,  26.86, 134.10 
16,  1000000,  26.86, 135.11 
20,        1,   0.00,   0.21 
20,       10,  20.00,   1.82 
20,      100,  26.00,  12.34 
20,     1000,  25.60,  76.65 
20,    10000,  26.67, 152.72 
20,   100000,  26.77, 167.01 
20,   500000,  26.83, 157.48 
20,  1000000,  26.86, 166.67 
24,        1, 100.00,   0.00 
24,       10,  40.00,   0.00 
24,      100,  39.00,   0.06 
24,     1000,  28.20,   0.59 
24,    10000,  26.83,   5.57 
24,   100000,  26.67,  28.81 
24,   500000,  26.92,  43.18 
24,  1000000,  26.87,  97.98 
32,        1,   0.00,   0.03 
32,       10,  50.00,   0.16 
32,      100,  24.00,   1.62 
32,     1000,  26.90,  17.41 
32,    10000,  26.19,  65.48 
32,   100000,  26.69, 117.79 
32,   500000,  26.86, 139.45 
32,  1000000,  26.89, 143.59 
